Ref_Date,GEO,VALUE,BEVERAGE,PRODUCT,Vector,Coordinate,Value
1993,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"16,391"
1994,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"17,197"
1995,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"16,654"
1996,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"16,324"
1997,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"16,662"
1998,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"17,516"
1999,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"18,320"
2000,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"18,448"
2001,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"19,105"
2002,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"19,956"
2003,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"18,999"
2004,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"20,020"
2005,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"20,871"
2006,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"22,355"
2007,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"24,350"
2008,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"25,190"
2009,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"25,421"
2010,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"24,386"
2011,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"25,348"
2012,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"25,540"
2013,Alberta,Volume in litres,Total spirits,"Total products (x 1,000)",v20857589,10.2.2.1,"27,157"
1993,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,1
1994,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,1
1995,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
1996,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
1997,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
1998,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
1999,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2000,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2001,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2002,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2003,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2004,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2005,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2006,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,0
2007,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2008,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2009,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2010,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2011,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2012,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
2013,Alberta,Volume in litres,Alcohol,"Total products (x 1,000)",v20857580,10.2.3.1,..
1993,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,422
1994,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,422
1995,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,387
1996,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,386
1997,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,370
1998,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,374
1999,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,382
2000,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,368
2001,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,366
2002,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,382
2003,Alberta,Volume in litres,Brandy,"Total products (x 1,000)",v20857581,10.2.4.1,380
